CLEAR MAP 1,,,
Total pixels ,1985,,
,,,
Name of beamline feature,Real distance (m),Pixels from left end,Pixel fraction
GUN 115,0,1915,0.964735516
DG 130,0.32,1761,0.887153652
MTV 215,1.81,1604,0.808060453
DG 225,2.18,1503,0.757178841
DG 245,7.33,1279,0.644332494
DG 265,12.49,1043,0.525440806
DG 320,17.7,806,0.40604534
QDD 355,19,607,0.305793451
DG 385,20,429,0.216120907
BTV 390,20.5964,381,0.191939547
,,,
CLEAR MAP 2,,,
Total pixels ,1976,,
,,,
Name of beamline feature,Real distance (m),Pixels from left end,Pixel fraction
QDD 515,22.86,1845,0.929471033
DJ 540,23.96,1702,0.85743073
DJ 590,25.21,1537,0.774307305
BTV 620,26.04,1313,0.661460957
DJ 710,29.31,994,0.500755668
BTV 730,29.75,888,0.447355164
QDD 765,30.62,768,0.386901763
DJ 780,31.66,674,0.339546599
BTV 800,32.36,582,0.293198992
BTV 810,32.53,521,0.262468514
DJ 840,33.38,402,0.202518892
QDD 870,33.92,344,0.173299748
BHB 900,35.03,249,0.125440806
END,36.28,3,0.001511335
